SNO,Question Content,Option A,Option B,Option C,Option D,Number of correct answer,Correct Answers
95,"A credit card company needs to implement the functionality for a service agent to process damaged or stolen credit cards. When the customers call in, the service agent must gather many pieces of information. A developer is tasked to implement this functionality. What should the developer use to satisfy this requirement in the most efficient manner?",Apex trigger,Lightning Component,Approval process,Screen-based flow,1,D
96,A developer creates a custom exception as shown below: public class ParityException extends Exception {} What are two ways the developer can fire the exception in Apex?,new ParityException('parity does not match'),throw new ParityException('parity does not match'),throw new ParityException(),new ParityException(),2,"B, C"
97,Which statement describes the execution order when triggers are associated to the same object and event?,Triggers are executed in the order they are modified.,Trigger execution order cannot be guaranteed.,Triggers are executed alphabetically by trigger name.,Triggers are executed in the order they are created.,1,B
98,"While developing an Apex class with custom search functionality that will be launched from a Lightning Web Component, how can the developer ensure only records accessible to the currently logged in user are displayed?",Use the 'with sharing' keyword.,Use the 'inherited sharing' keyword.,Use the 'without sharing' keyword.,Use the WITH_SECURITY_ENFORCED clause within the SOQL.,1,A
99,"A developer is tasked to perform a security review of the ContactSearch Apex class that exists in the system. Within the class, the developer identifies the following method as a security threat: List<Contact> performSearch(String lastName){ return Database.query('SELECT Id, FirstName, LastName FROM Contact WHERE LastName Like '%'+lastName+'%'')} What are two ways the developer can update the method to prevent a SOQL injection attack?",Use the escapeSingleQuotes method to sanitize the parameter before its use.,Use the @ReadOnly annotation and the with sharing keyword on the class.,Use variable binding and replace the dynamic query with a static SOQL.,,2,"A, C"
100,What should a developer do to check the code coverage of a class after running all tests?,View the Code Coverage column in the list view on the Apex Classes page.,Select and run the class on the Apex Test Execution page in the Developer Console.,View the code coverage percentage for the class using the Overall Code Coverage,View the Class Test Percentage tab on the Apex Class list view in Salesforce Setup.,1,C
101,Universal Containers is developing a new Lightning web component for their marketing department. They want to ensure that the component is fine tuned and provides a   42 seamless user experience. What are some benefits of using the Lightning Component framework?,Automatic support for accessibility standards,Easy integration with third-party libraries,Compatibility with all web browsers,Better performance due to client-side rendering,3,"A, B, D"
102,What are two considerations for deploying from a sandbox to production?,Should deploy during business hours to ensure feedback can be quickly addressed.,All triggers must have at least one line of test coverage.,At least 75% of Apex code must be covered by unit tests.,Unit tests must have calls to the System.assert method.,2,"C, D"
103,Which statement should be used to allow some of the records in a list of records to be inserted if others fail to be inserted?,"Database.insert(records, false)",insert records,"insert (records, false)","Database.insert(records, true)",1,A
104,"Given the following Anonymous block: List<Case> casesToUpdate = new List<Case>()for(Case thisCase : [SELECT Id, Status FROM Case LIMIT 50000]){   43 thisCase.Status = 'Working'casesToUpdate.add(thisCase)} try{ Database.update(casesToUpdate, false)}catch(Exception e){ System.debug(e.getMessage())} What should a developer consider for an environment that has over 10,000 Case records? The try-catch block will handle any DML exceptions thrown.",The transaction will fail due to exceeding the governor limit.,The try-catch block will handle exceptions thrown by governor limits.,The transaction will succeed and changes will be committed.,,1,B
105,A developer needs to prevent the creation of Request_c records when certain conditions exist in the system. A RequestLogic class exists that checks the conditions. What is the correct implementation?,trigger RequestTrigger on Request_c (after insert),trigger RequestTrigger on Request_c (after insert) {if (RequestLogic.isValid(Request_c)),trigger RequestTrigger on Request_c (before insert) {if,trigger RequestTrigger on Request_c (before insert),1,D
106,"A custom Visualforce controller calls the 'ApexPages.addMessage()' method, but no messages are rendering on the page. Which component should be added to the Visualforce page to display the message?","""<apex:facename = """"messages""""/>""",<apex:pageMessages/>,"""<apex:pageMessage severity = """"info""""/>""","""<apex:message for = """"info""""/>""",1,B
107,Universal Containers has a large number of custom applications that were built using a third-party JavaScript framework and exposed using Visualforce pages. The company wants to update these applications to apply styling that resembles the look and feel of Lightning Experience. What should the developer do to fulfill the business request in the quickest and most effective manner?,Set the attribute enableLightning to true in the definition.,Rewrite all Visualforce pages as Lightning components.,Incorporate the Salesforce Lightning Design System CSS stylesheet into the JavaScript,"Enable Available for Lightning Experience, Lightning Communities, and the mobile",1,C
108,How can a developer check the test coverage of autolaunched Flows before deploying them in a change set?,Use the Flow Properties page.,Use SOQL and the Tooling API.,Use the 'ApexTestResult' class.,Use the Code Coverage Setup page.,1,A
109,"Consider the following code snippet: public static List<Lead> obtainAllFields(Set<Id> leads){ List<Lead> result = new List<Lead>()for(Id leadId : leads){ result.add([SELECT FIELDS(STANDARD) FROM Lead WHERE Id = :leadId])} return result} Given the multi-tenant architecture of the Salesforce platform, what is a best practice a developer should implement and ensure successful execution of the method?",Avoid using variables as query filters.,Avoid performing queries inside for loops.,Avoid executing queries without a limit clause.,Avoid returning an empty List of records.,1,B
110,A software company uses the following objects and relationships: ฀ Case: to handle customer support issues ฀ Defect_c: a custom object to represent known issues with the company's software ฀ Case_Defect_c: a junction object between Case and Defect_c to represent that a defect is a cause of a customer issue Case and Defect_c have Private organization-wide defaults. What should be done to share a specific Case_Defect_c record with a user?   46,Share the parent Case record.,Share the parent Defect_c record.,Share the Case_Defect_c record.,Share the parent Case and Defect__c records.,1,D
111,"The values 'High', 'Medium', and 'Low' are identified as common values for multiple picklists across different objects. What is an approach a developer can take to streamline maintenance of the picklists and their values, while also restricting the values to the ones mentioned above?",Create the Picklist on each object and use a Global Picklist Value Set containing the,Create the Picklist on each object and add a validation rule to ensure data integrity.,"""Create the Picklist on each object and select """"Restrict picklist to the values defined in""","""Create the Picklist on each object as a required field and select """"Display values""",1,A
112,"A Lightning component has a wired property, 'searchResults', that stores a list of Opportunities. Which definition of the Apex method, to which the 'searchResults' property is wired, should be used?",@AuraEnabled(cacheable=false),@AuraEnabled(cacheable=true),@AuraEnabled(cacheable=true),@AuraEnabled(cacheable=false),1,B
113,"Cloud Kicks Fitness, an ISV Salesforce partner, is developing a managed package application. One of the application modules allows the user to calculate body fat using the Apex class, BodyFat, and its method, calculateBodyFat(). The product owner wants to ensure this method is accessible by the consumer of the application when developing customizations outside the ISV's package namespace. Which approach should a developer take to ensure calculateBodyFat() is accessible outside the package namespace?",Declare the class and method using the public access modifier.,Declare the class and method using the global access modifier.,Declare the class as public and use the global access modifier on the method.,Declare the class as global and use the public access modifier on the method.,1,C
114,"A software company is using Salesforce to track the companies they sell their software to in the Account object. They also use Salesforce to track bugs in their software with a custom object, Bug_c. As part of a process improvement initiative, they want to be able to report on which companies have reported which bugs. Each company should be able to report multiple bugs and bugs can also be reported by multiple companies. What is needed to allow this reporting?",Roll-up summary field of Bug_c on Account,Lookup field on Bug_c to Account,Master-detail field on Bug_c to Account,Junction object between Bug_c and Account,1,D
115,Universal Containers wants to automatically assign new cases to the appropriate support representative based on the case origin. They have created a custom field on the Case object to store the support representative name. What is the best solution to assign the case to the appropriate support representative?,Use a formula field on the Case object.,Use a trigger on the Case object.,Use a validation rule on the Case object.,Use an Assignment Flow element.,1,D
116,"Universal Containers (UC) uses a custom object called Vendor. The Vendor custom object has a master-detail relationship with the standard Account object. Based on some internal discussions, the UC administrator tried to change the master detail relationship to a lookup relationship, but was not able to do so. What is a possible reason that this change was not permitted?",The Account object has a roll-up summary field on the Vendor object.,The Account object does not allow changing a field type for a custom field.,Some of the Vendor records have null for the Account field.,The organization wide default for the Vendor object is Public Read/Write.,1,A
117,"What is the result of the following code? Account a = new Account()Database.insert(a, false)  49",The record will be created and no error will be reported.,The record will not be created and an exception will be thrown.,The record will not be created and no error will be reported.,The record will be created and a message will be in the debug log.,1,C
118,"A developer at AW Computing is tasked to create the supporting test class for a programmatic customization that leverages records stored within the custom object, 'Pricing_Structure_c'. AW Computing has a complex pricing structure for each item on the store, spanning more than 500 records. Which two approaches can the developer use to ensure 'Pricing_Structure_c' records are available when the test class is executed? Choose 2 answers",Use the 'Test.loadData()' method.,Use 'without sharing' on the class declaration.,Use the '@IsTest(seeAllData=true)' annotation.,Use a Test Data Factory class.,2,"A, D"
119,What is the result of the following code snippet? public void doWork(Account act){ for (Integer i = 0i <= 200i++) { insert act},0 Accounts are inserted.,1 Account is inserted.,200 Accounts are inserted.,201 Accounts are inserted.,1,A
120,"When using Salesforce DX, what does a developer need to enable to create and manage scratch orgs?",Environment Hub,Dev Hub,Sandbox,Production,1,B
121,"A developer must create a Lightning component that allows users to input Contact record information to create a Contact record, including a Salary__c custom field. What should the developer use, along with a lightning-record-edit-form, so that Salary__c field functions as a currency input and is only viewable and editable by users that have the correct field level permissions on Salary__c?","""<lightning-input type=""""number"""" value=""""Salary__c""""""","""<lightning-input-currency value=""""Salary__c""""></lightning-input-currency>""","""<lightning-input-field field-name=""""Salary__c""""></lightning-input-field>""","""<lightning-formatted-number value=""""Salary__c"""" format-""",1,C
122,What can be easily developed using the Lightning Component framework?,Salesforce Classic user interface pages,Salesforce Integrations,Lightning Pages,Customized JavaScript buttons,1,C
123,"While writing an Apex class, a developer wants to make sure that all functionality being developed is handled as specified by the requirements. Which approach should the developer use to be sure that the Apex class is working according to specifications?",Create a test class to execute the business logic and run the test in the Developer,Run the code in an Execute Anonymous block in the Developer Console.,Include a try/catch block to the Apex class.,Include a savepoint and 'Database.rollback()'.,1,A
124,Universal Containers wants to assess the advantages of declarative development versus programmatic customization for specific use cases in its Salesforce implementation. What are two characteristics of declarative development over programmatic customization? Choose 2 answers,Declarative development does not require Apex test classes.,Declarative development can be done using the Setup menu.,Declarative code logic does not require maintenance or review.,Declarative development has higher design limits and query limits.,2,"A, B"
125,  52 How does the Lightning Component framework help developers implement solutions faster?,By providing device-awareness for mobile and desktops,By providing an Agile process with default steps,By providing change history and version control,By providing code review standards and processes,1,A
126,"A developer created a custom order management app that uses an Apex class. The order is represented by an Order object and an OrderItem object that has master-detail relationship to Order. During order processing, an order may be split into multiple orders. What should a developer do to allow their code to move some existing OrderItem records to a new Order record?",Add without sharing to the Apex class declaration.,Select the Allow reparenting option on the master-detail relationship.,Change the master detail relationship to an external lookup relationship.,Create a junction object between OrderItem and Order.,1,B
127,A lead developer creates an Apex interface called 'Laptop'. Consider the following code snippet: public class SilverLaptop{ //code implementation } How can a developer use the 'Laptop' interface within the 'SilverLaptop' class?,"""@Extends(class=""""Laptop"""") public class SilverLaptop""","""@Interface(class=""""Laptop"""") public class SilverLaptop""",public class SilverLaptop implements 'Laptop',public class SilverLaptop extends 'Laptop',1,C
128,A developer wrote Apex code that calls out to an external system using REST API. How should a developer write the test to prove the code is working as intended?,Write a class that implements 'WebServiceMock'.,Write a class that extends 'WebServiceMock'.,Write a class that extends 'HTTPCalloutMock'.,Write a class that implements 'HTTPCalloutMock'.,1,D
129,"Universal Containers (UC) is developing a process for their sales teams that requires all sales reps to go through a set of scripted steps with each new customer they create. In the first step of collecting information, UC's ERP system must be checked via a REST endpoint to see if the customer exists. If the customer exists, the data must be presented to the sales rep in Salesforce. Which two should a developer implement to satisfy the requirements? Choose 2 answers",Trigger,Invocable method,Future method,Flow,2,"B, D"
130,A developer must provide custom user interfaces when users edit a Contact in either Salesforce Classic or Lightning Experience. What should the developer use to override the Contact's Edit button and provide this functionality?,Visualforce page in Salesforce Classic and a Lightning page in Lightning Experience,Lightning page in Salesforce Classic and a Visualforce page in Lightning Experience,Lightning component in Salesforce Classic and a Lightning component in Lightning,Visualforce page in Salesforce Classic and a Lightning component in Lightning,1,A
131,What should a developer use to script the deployment and unit test execution as part of continuous integration?,Salesforce CLI,Developer Console,Execute Anonymous,VS Code,1,A
132,"A developer considers the following snippet of code: Boolean iOK = falseInteger xString theString = 'Hello'if (iOK == false && theString == 'Hello'){ x = 1} else if (iOK == true && theString == 'Hello'){ x = 2} else if (iOK != null && theString == 'Hello'){ x = 3} else { x = 4} Based on this code, what is the value of x?",4,3,2,1,1,D
133,"A PrimaryId_c custom field exists on the Candidate_c custom object. The field is used to store each candidate's id number and is marked as Unique in the schema definition. As part of a data enrichment process, Universal Containers has a CSV file that contains updated data for all candidates in the system. The file contains each Candidate's primary id as a data point. Universal Containers wants to upload this information into Salesforce, while ensuring all data rows are correctly mapped to a candidate in the system. Which technique should the developer implement to streamline the data upload?",Upload the CSV into a custom object related to Candidates_c.,Create a before save flow to correctly map the records.,Create a before insert trigger to correctly map the records.,Update the PrimaryId_c field definition to mark it as an External Id.,1,D
133,"Considering the following code snippet: public static void insertAccounts(List<Account> theseAccounts){ for(Account thisAccount : theseAccounts){ if(thisAccount.website == null){ thisAccount.website = 'https://www.demo.com'} } update theseAccounts}   56 When the code executes, a DML exception is thrown. How should a developer modify the code to ensure exceptions are handled graceful!",Implement the `up**** DML statement`.,Remove null items from the list of Accounts`.,Implement Change Data Capture`. D. Implement a try/catch block for the DML.,Implement a try/catch block for the DML.,1,D
133,How many Accounts will be inserted by the following block of code? for(Integer i = 0i < 500i++) { Account a = new Account (Name='New Account ' + i)insert a},0,100,500,150,1,A
133,"The Job_Application__c custom object has a field that is a master-deta relationship to the Contact object, where the Contact object is the master. As part of a feature implementation, a developer needs to retrieve a list containing Contact records where the related Account Industry is 'Technology', while also retrieving the Contact's Job_Application__c records. Based on the object's relationships, what is the most efficient statement to retrieve the list of Contacts?","[SELECT Id, (SELECT Id FROM Job_Application__c) FROM Contact WHERE","[SELECT Id, (SELECT Id FROM Job_Application__c) FROM Contact WHERE","[SELECT Id, (SELECT Id FROM Job_Application__r) FROM Contact WHERE",,1,D
136,A developer must implement a CheckPaymentProcessor class that provides check processing payment capabilities that adhere to what is defined for payments in the PaymentProcessor interface. public interface PaymentProcessor{ void pay(Decimal amount)} Which implementation is correct to use the PaymentProcessor interface?,Public class CheckPaymentProcessor implements PaymentProcessor {,Public class CheckPaymentProcessor implements PaymentProcessor {,Public class CheckPaymentProcessor extends PaymentProcessor {,Public class CheckPaymentProcessor extends PaymentProcessor {,1,A
137,  58 A developer must write an Apex method that will be called from a Lightning component. The method may delete an Account stored in the accountRec variable. Which method should a developer use to ensure only users that should be able to delete Accounts can successfully perform deletions?,accountRec.isDeleteable(),Schema.sObjectType.Account.isDeleteable(),Account.isDeleteable(),accountRec.sObjectType.isDeleteable(),1,B
138,"A developer creates a Lightning web component that imports a method within an Apex class. When a Validate button is pressed, the method runs to execute complex validations. In this implementation scenario, which two options are part of the Controller according to the MVC architecture? Choose 2 answers",JavaScript file,XML file,Apex class,HTML file,2,"A, C"
139,"A developer writes a trigger on the Account object on the before update event that increments a count field. A record triggered flow also increments the count field every time that an Account is created or updated. What is the value of the count field if an Account is inserted with an initial value of zero, assuming no other automation logic is implemented on the Account?",2,3,4,1,1,A
140,"Universal Containers (UC) uses out-of-the-box order management, that has a Master- Detail relationship between Order and Order Line Item. Which method should be used to calculate the estimated ship date for an Order?",Use a LATEST formula on each of the latest availability date fields.,Use a DAYS formula on each of the availability date fields and a COUNT Roll Up,Use a MAX Roll-Up Summary field on the latest availability date fields.,Use a CEILING formula on each of the latest availability date fields.,1,C
141,"When importing and exporting data into Salesforce, which two statements are true? Choose 2 answers",Bulk API can be used to import large data volumes in development environments,Data import wizard is an application that is installed on your computer.,Bulk API can be used to bypass the storage limits when importing large data volumes,Development and Developer Pro sandboxes have different storage limits.,2,"A, D"
142,  60 Which three code lines are required to create a Lightning component on a Visualforce page? Choose 3 answers,Lightning.createComponent,<span/>,Lightning.use,Lightning.useComponent,3,"A, B, C"
143,Which two statements are true about using the @TestSetup annotation in an Apex test class? Choose 2 answers,"In a test setup method, test data is inserted once and made available for all test",Records created in the test setup method cannot be updated in individual test,A method defined with the @testSetup annotation executes once for each test,The @testSetup annotation is not supported when the @isTest(SecAllData=True),2,"A, D"
144,"A Next Best Action strategy uses an Enhance element that invokes an Apex method to determine a discount level for a Contact, based on a number of factors. What is the correct definition of the Apex method?",@InvocableMethod global static List<Recommendation>,@InvocableMethod global List<List<Recommendation>>,@InvocableMethod global Recommendation getLevel(ContactWrapper input) {,@InvocableMethod global static List<List<Recommendation>>,1,D
145,A developer is migrating a Visualforce page into a Lightning web component. The Visualforce page shows information about a single record. The developer decides to use Lightning Data Service to access record data. Which security consideration should the developer be aware of?,The `sakcessable()` method must be used for field-level access checks.,Lightning Data Service handles sharing rules and field-level security.,The `with` `sharing` keyword must be used to enforce sharing rules.,Lightning Data Service ignores field-level security.,1,B
146,A developer creates a batch Apex job to update a large number of records and receives reports of the job timing out and not completing. What is the first step towards troubleshooting the issue?,Check the asynchronous job monitoring page to view the job status and logs.,Check the debug logs for the batch job.,Disable the batch job and recreate it with a smaller number of records.,Decrease the batch size to reduce the load on the system.,1,A
147,  62 What are two benefits of using External IDs? Choose 2 answers,An External ID field can be used to reference an ID from another external system.,An External ID can be a formula field to help create a unique key from two fields in,An External ID can be used with Salesforce Mobile to make external data visible.,An External ID is indexed and can improve the performance of SOQL queries.,2,"A, D"
148,A developer completed modifications to a customized feature that is comprised of two elements: ฀ Apex trigger ฀ Trigger handler Apex class What are two factors that the developer must take into account to properly deploy the modification to the production environment? Choose 2 answers,All methods in the test classes must use 'assert'.,At least one line of code must be executed for the Apex trigger.,At least 75% of Apex code must be covered by unit tests.,The Apex trigger must be included in a Change Set.,2,"A, C"
149,A developer needs to make a custom Lightning Web Component available in the Salesforce Classic user interface. Which approach can be used to accomplish this?,Wrap the Lightning Web Component in an Aura Component and surface the Aura,Embed the Lightning Web Component in a Visualforce Component and add directly,Use a Visualforce page with a custom controller to invoke the Lightning Web,Use the Lightning Out JavaScript library to embed the Lightning Web Component in a,1,A
150,A developer wants to improve runtime performance of Apex calls by caching results on the client. What is the most efficient way to implement this and follow best practices?,Call the 'setStorable()' method on the action in the JavaScript client-side code.,Decorate the server-side method with '@AuraEnabled(cachedAlert=true)'.,Decorate the server-side method with '@AuraEnabled(storable=true)'.,Set a cookie in the browser for use upon return to the page.,1,C
151,"""A lead developer creates a virtual class called """"OrderRequest"""". Consider the following code snippet: public class CustomerOrder{ //code implementation } How can a developer use the OrderRequest class within the CustomerOrder class?""",public class CustomerOrder implements Order,public class CustomerOrder extends OrderRequest,"""@Extends(class=""""OrderRequest"""") public class CustomerOrder""","""@Implements(class=""""OrderRequest"""") public class CustomerOrder""",1,B
152,  64 The Account object in an organization has a master-detail relationship to a child object called Branch. The following automations exist: ฀ Roll up summary fields ฀ Custom validation rules ฀ Duplicate rules A developer created a trigger on the Account object. Which two things should the developer consider while testing the trigger code? Choose 2 answers,The validation rules will cause the trigger to fire again.,Rollup summary fields can cause the parent record to go through Save.,The trigger may fire multiple times during a transaction.,Duplicate rules are executed once all DML operations commit to the database.,2,"B, C"
153,Which Lightning Web Component custom event property settings enable the event to bubble up the containment hierarchy and cross the Shadow DOM boundary?,"bubbles: true, composed: true","bubbles: true, composed: false","bubbles: false, composed: false","bubbles: false, composed: true",1,A
154,An org has an existing flow that edits an Opportunity with an Update Records element. A developer must update the flow to also create a Contact and store the created Contact's ID on the Opportunity. Which update must the developer make in the flow?,Add a new Update Records element.,Add a new Create Records element.,Add a new Get Records element.,Add a new Roll Back Records element.,1,B
155,Which three data types can a SOQL query return? Choose 3 answers,Object,Double,Long,List,2,"A, D"
156,"A team of developers is working on a source-driven project that allows them to work independently, with many different org configurations. Which type of Salesforce orgs should they use for their development?",Developer sandboxes,Developer orgs,Scratch orgs,Full Copy sandboxes,1,C
157,Which two are best practices when it comes to Aura component and application event handling? Choose 2 answers,"Reuse the event logic in a component bundle, by putting the logic in the helper.",Handle low-level events in the event handler and re-fire them as higher-level events.,Try to use application events as opposed to component events.,Use component events to communicate actions that should be handled at the,2,"A, B"
158,"Universal Containers has implemented an order management application. Each Order can have one or more Order Line items. The Order Line object is related to the Order via a master-detail relationship. For each Order Line item, the total price is calculated by multiplying the Order Line item price with the quantity ordered. What is the best practice to get the sum of all Order Line item totals on the Order record?",Roll-up summary field,Formula field,Quick action,Apex trigger,1,A
159,What are three considerations when using the @InvocableMethod annotation in Apex? Choose 3 answers,Only one method using the @InvocableMethod annotation can be defined per Apex,A method using the @InvocableMethod annotation must be declared as static.,A method using the @InvocableMethod annotation can be declared as Public or,A method using the @InvocableMethod annotation can have multiple input,3,"A, B, C"
160,What should be used to create scratch orgs?,Workbench,Salesforce CLI,Developer Console,Sandbox refresh,1,B
161,"Universal Containers (UC) processes orders in Salesforce in a custom object, order_c. They also allow sales reps to upload CSV files with thousands of orders at a time. A developer is tasked with integrating orders placed in Salesforce with UC's enterprise resource planning (ERP) system. After the status for an order_c is first set to 'Placed', the order information must be sent to a REST endpoint in the ERP system that can process one order at a time. What should the developer implement to accomplish this?",Callout from a queueable class called from a trigger,Callout from a batchable class called from a scheduled job,Flow with a callout from an invocable method,Callout from an instantaneous method called from a trigger,1,A
162,A developer needs to implement a custom SOAP Web Service that is used by an external Web Application. The developer chooses to include helper methods that are not used by the Web Application in the implementation of the Web Service Class. Which code segment shows the correct declaration of the class and methods?,global class webserviceclass { private static Boolean betweenhead() { /*,webservice class webserviceclass { private static Boolean betweenhead() {,webservice class webserviceclass { private static Boolean betweenhead() {,global class webserviceclass { private static Boolean betweenhead() { / implementation,1,C
163,How should a developer write unit tests for a private method in an Apex class?,Use the @TestVisible annotation.,Add a test method in the Apex class.,Mark the Apex class as global.,Use the @TestSetup annotation.,1,A
164,What is the value of the Trigger.old context variable in a before insert trigger?,An empty list of sObjects,Undefined,Null,A list of newly created sObjects without IDs,1,A
165,Universal Containers decided to transition from Classic to Lightning Experience. They asked a developer to replace a JavaScript button that was being used to create records with prepopulated values. What can the developer use to accomplish this?,Validation rules,Apex Triggers,Record triggered flows,Quick Actions,1,D
166,Universal Containers has developed custom Apex code and Lightning Components in a Sandbox environment. They need to deploy the code and associated configurations to the Production environment. What is the recommended process for deploying the code and configurations to Production?,Use the Force.com IDE to deploy the Apex code and Lightning Components.,Use the Ant Migration Tool to deploy the Apex code and Lightning Components.,Use a change set to deploy the Apex code and Lightning Components.,Use Salesforce CLI to deploy the Apex code and Lightning Components.,1,C
167,"Universal Containers has a Visualforce page that displays a table of every Container_c being rented by a given Account. Recently this page is failing with a view state limit because some of the customers rent over 10,000 containers. What should a developer change about the Visualforce page to help with the page load errors?",Implement pagination with an OffsetController.,Implement pagination with a StandardSetController.,Use JavaScript remoting with SOQL Offset.,Use lazy loading and a transient List variable.,1,B
168,"A developer created a trigger on a custom object. This custom object also has some dependent picklists.   70 According to the order of execution rules, which step happens first?",The original record is loaded from the database.,System validation is run for maximum field lengths.,Old values are overwritten with the new record values.,JavaScript validation is run in the browser.,1,D
169,"Universal Containers implemented a private sharing model for the Account object. A custom Account search tool was developed with Apex to help sales representatives find accounts that match multiple criteria they specify. Since its release, users of the tool report they can see Accounts they do not own. What should the developer use to enforce sharing permissions for the currently logged in user while using the custom search tool?",Use the 'with sharing' keyword on the class declaration.,Use the 'without sharing' keyword on the class declaration.,Use the Schema class to filter all SOQL queries to returned records owned by the,Use the Schema describe calls to determine if the logged-in user has access to the,1,A
170,Universal Containers is building a recruiting app with an Applicant object that stores information about an individual person and a Job object that represents a job. Each applicant may apply for more than one job. What should a developer implement to represent that an applicant has applied for a job?,Junction object between Applicant and Job,Lookup field from Applicant to Job,Master-detail field from Applicant to Job,Formula field on Applicant that references Job,1,A
171,"A business has a proprietary Order Management System (OMS) that creates orders from its website and fulfills the orders. When the order is created in the OMS, an integration also creates an order record in Salesforce and relates it to the contact as identified by the email on the order. As the order goes through different stages in the OMS, the integration also updates it in Salesforce. The business notices that each update from the OMS creates a new order record in Salesforce. Which two actions should prevent the duplicate order records from being created in Salesforce? Choose 2 answers",Use the order number from the OMS as an external ID.,Ensure that the order number in the OMS is unique.,Use the email on the contact record as an external ID.,Write a trigger on the Order object to delete the duplicates.,2,"A, B"
172,"""Managers at Universal Containers want to ensure that only decommissioned containers are able to be deleted in the system. To meet the business requirement a Salesforce developer adds """"Decommissioned"""" as a picklist value for the 'Status_c' custom field within the 'Container_c' object. Which two approaches could a developer use to enforce only Container records with a status of """"Decommissioned"""" can be deleted? Choose 2 answers""",Seller record triggers flow,After querying,After record triggers flow,Validate rule,2,"B, C"
173,A developer must perform a complex SOQL query that joins two objects in a Lightning component. How can the Lightning component execute the query?,Create a custom Lightning web component wrapper to execute the query and invoke,Invoke an Apex class with the method annotated as @AuraEnabled to perform the,Use the Salesforce Streaming API to perform the SOQL query.,Create a flow to execute the query and invoke from the Lightning component.,1,B
174,Universal Containers wants a list button to display a Visualforce page that allows users to edit multiple records. Which Visualforce feature supports this requirement?,Standard Controller with Custom List Controller extension,Custom List Controller with recordSetVar page attribute,Controller Extension and <apex:button> tag,Standard controller and the recordSetVar page attribute,1,D
175,"""A developer creates a new Apex trigger with a helper class, and writes a test class that only exercises 95% coverage of the new Apex helper class. Change Set deployment to production fails with the test coverage warning:   73 """"Test coverage of selected Apex Trigger is 0%, at least 1% test coverage is required."""" What should the developer do to successfully deploy the new Apex trigger and helper class?""",Increase the test class coverage on the helper class.,Create a test class and methods to cover the Apex trigger.,Remove the failing test methods from the test class.,Run the tests using the 'Run All Tests' method.,1,B
176,A developer is designing a new application on the Salesforce platform and wants to ensure it can support multiple tenants effectively. Which design framework should the developer consider to ensure scalability and maintainability?,Waterfall Model,MVC (Model-View-Controller),Model-View-Composite (MVC),Agile Development,1,B
177,"""What should a developer use to obtain the Id and Name of all the Leads, Accounts, and Contracts that have the company name """"Universal Containers""""?""","""FIND """"Universal Containers"""" IN ALL FIELDS RETURNING Lead(Id, Name), Account(Id,""","""FIND """"Lead(Id, Name), Account(Id, Name), Contract(Id, Name) FROM SALA WHERE""","""FIND """"Universal Containers"""" IN Name Fields RETURNING Lead(Id, Name), Account(Id,""","""FIND """"Lead(Id, Name), Account(Id, Name), Contract(Id, Name) FROM Lead, Account,""",1,A
178,What are two considerations for running a flow in debug mode? Choose 2 answers,Configure external registers as set command when debugging a flow.,Use open-source and parallel tasks where the debugging ends.,Input variable of type record cannot be passed into the flow.,Clicking Pause or executing a Pause element closes the flow and ends debugging.,2,"C, D"
179,"Since Aura application events follow the traditional publish-subscribe model, which method is used to fire an event?",fire(),replaceState(),startOut(),publish(),1,A
184,  76 A developer deployed a trigger to update the status_c of Assets related to an Account when the Account's status changes and a nightly integration that updates Accounts in bulk has started to fail with limit failures. [Code snippet in document] What should the developer change about the code to address the failure while still having the code update all of the Assets correctly?,Change the getAssetsToUpdate method to process all Accounts in one call and call it,Add a LIMIT clause to the SOQL Query on line 16 to limit the number of Assets,Move all of the logic to a @future method that queries for and updates the Assets,Perform the SOQL query for Assets on line 14 and iterate over the assets list in the for,1,A
185,"When using Salesforce DX, what does a developer need to enable to create and manage scratch orgs?",Production,Dev Hub,Sandbox,Environment Hub,1,B
186,Which code in a Visualforce page and/or controller might present a security vulnerability?,"""<apex:outputText value=""""{!get.userinput}"""" escape=""""false""""/>""","""<apex:outputText value=""""{!get.userinput}"""" escape=""""true""""/>""","""<apex:outputText value=""""{!$CurrentPage.parameters.userinput}"""" escape=""""true""""/>""","""<apex:outputText value=""""{!$CurrentPage.parameters.userinput}"""" escape=""""false""""/>""",1,D
187,"A developer identifies the following triggers on the 'Expense_c' object: deleteExpense, applyDefaultsToExpense, validateExpenseUpdateThe triggers process before delete, before insert, and before update events respectively. Which two techniques should the developer implement to ensure trigger best practices are followed? Choose 2 answers",Create helper classes to execute the appropriate logic when a record is saved.,Remove the before insert and before update triggers and use Flows for the delete,Combine all three triggers into a single trigger on the 'Expense_c' object that includes,"Maintain all three triggers on the 'Expense_c' object, but move the business logic out",2,"A, C"
